HousingCA,UnemployCA,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),CAPHCI,CASLIND,S&P Adj Close,Steel&Iron Index
109.70,6.10,18.52,54.668,2.759,140.61,0.33,1148.079956,107.3
110.57,7.00,19.15,54.564,2.815,140.63,0.35,1130.199951,107.1
111.89,6.80,19.98,54.764,2.955,140.83,0.98,1106.72998,107.7
113.94,6.90,23.64,55.253,2.941,140.88,0.97,1147.390015,109
116.23,6.60,25.43,55.369,3.027,141.10,1.10,1076.920044,110.8
118.38,6.20,25.69,55.018,3.145,141.27,1.18,1067.140015,112.9
120.50,6.70,24.49,55.385,3.212,141.43,1.06,989.820007,114.7
122.57,6.90,25.75,55.796,3.133,141.56,1.08,911.619995,115.9
124.27,6.70,26.78,56.225,3.103,141.71,0.94,916.070007,117
125.57,6.30,28.28,56.473,3.191,141.87,0.93,815.280029,118.6
126.79,6.40,27.53,56.864,3.166,141.87,0.74,885.76001,118.9
127.70,6.80,24.79,57.591,3.191,142.05,0.69,936.309998,118.2
128.69,6.70,27.89,58.083,3.319,142.17,0.83,879.820007,117.9
129.77,7.30,30.77,57.959,3.569,142.29,0.99,855.700012,118.6
130.92,7.10,32.88,58.212,3.590,142.42,0.82,841.150024,120.1
133.06,7.10,30.36,58.812,3.406,142.41,0.61,848.179993,120.7
135.33,6.70,25.49,59.366,3.282,142.62,0.73,916.919983,120.7
136.86,6.40,26.06,59.353,3.557,142.79,1.10,963.590027,119.8
138.61,7.20,27.91,59.903,3.564,142.97,1.18,974.5,119.2
141.08,7.10,28.59,60.332,3.510,143.14,0.87,990.309998,119.4
143.31,6.80,29.68,60.896,3.598,143.47,1.32,1008.01001,120.8
144.99,6.50,26.88,60.591,3.790,143.78,1.64,995.969971,122
146.75,6.50,29.01,60.424,3.789,144.12,1.81,1050.709961,123.2
148.57,6.70,29.12,60.708,3.899,144.31,1.42,1058.199951,125
150.36,6.20,29.95,60.936,4.070,144.72,1.70,1111.920044,128.4
152.19,7.00,31.4,60.539,4.138,144.99,1.80,1131.130005,134
154.90,6.70,31.32,60.838,4.049,145.46,1.90,1144.939941,143.6
158.56,7.00,33.67,61.614,4.067,145.75,1.70,1126.209961,150.3
162.95,6.30,33.71,62.302,4.033,146.23,1.77,1107.300049,154.4
167.93,5.90,37.63,62.424,3.838,146.69,1.92,1120.680054,155.3
172.32,6.40,35.54,62.640,3.924,147.14,1.88,1140.839966,155.2
175.49,6.40,37.93,62.682,3.981,147.61,1.90,1101.719971,166
177.41,5.90,42.08,62.891,4.005,147.91,1.71,1104.23999,174.2
179.01,5.60,41.65,63.227,4.053,148.41,1.78,1114.579956,174
180.93,5.70,46.87,63.438,4.205,148.73,1.72,1130.199951,178.9
182.47,5.90,42.23,63.938,4.394,149.23,1.87,1173.819946,182.4
183.77,5.70,39.09,64.367,4.421,149.68,1.93,1211.920044,180.6
185.96,6.20,42.89,63.936,4.240,149.99,1.57,1181.27002,181.2
189.01,6.10,44.56,63.936,4.234,150.51,1.63,1203.599976,179.8
193.00,5.90,50.93,64.543,4.339,151.00,2.00,1180.589966,176.4
197.51,5.30,50.64,64.987,4.292,151.52,2.09,1156.849976,176.9
201.25,5.00,47.81,64.478,4.219,152.04,2.09,1191.5,170.7
204.38,5.40,53.89,65.006,4.307,152.42,1.90,1191.329956,162
207.40,5.50,56.37,65.205,4.245,152.89,1.86,1234.180054,160
210.09,5.10,61.87,65.437,4.379,153.51,2.13,1220.329956,161.8
211.67,5.10,61.65,65.763,4.561,153.93,2.04,1228.810059,169.2
212.11,5.00,58.19,66.034,4.699,154.54,1.83,1207.01001,168
212.12,5.30,54.98,66.444,4.767,154.94,1.57,1249.47998,173.9
212.14,4.90,56.47,66.982,5.101,155.54,1.75,1248.290039,173.8
212.71,5.30,62.36,66.959,5.499,155.91,1.48,1280.079956,174.7
213.99,5.30,59.71,67.125,5.550,156.49,1.70,1280.660034,177.2
215.58,5.20,60.93,67.861,5.571,156.85,1.10,1294.869995,178.1
216.86,4.90,68,68.495,6.107,157.24,1.05,1310.609985,180.7
217.44,4.50,68.61,67.872,6.754,157.65,0.99,1270.089966,183.7
217.03,4.90,68.29,68.394,5.962,158.05,1.13,1270.199951,189
215.76,5.20,72.51,68.611,6.337,158.44,1.10,1276.660034,193.9
213.87,4.90,71.81,68.802,6.326,158.82,1.00,1303.819946,192.2
211.84,4.60,61.97,69.086,5.982,159.20,1.13,1335.849976,195.3
209.94,4.50,57.95,69.529,5.858,159.57,0.95,1377.939941,194.9
207.95,4.80,58.13,70.170,6.278,159.95,0.98,1400.630005,189
206.43,4.70,61,70.942,6.298,160.18,0.59,1418.300049,189.6
206.39,5.50,53.4,70.914,6.312,160.63,0.96,1438.23999,190
207.84,5.40,57.58,71.019,6.648,160.86,0.82,1406.819946,195.9
209.46,5.20,60.6,72.015,6.549,161.28,1.04,1420.859985,205.5
209.56,5.00,65.1,72.913,6.794,161.46,0.75,1482.369995,209.2
208.33,4.80,65.1,72.348,6.673,161.69,0.46,1530.619995,205.8
206.46,5.30,68.19,72.795,6.557,161.91,0.51,1503.349976,205.3
203.34,5.70,73.67,72.842,6.654,162.12,0.43,1455.27002,204.3
199.55,5.40,70.13,73.461,6.654,162.30,0.37,1473.98999,200.5
195.37,5.30,76.91,73.758,7.127,162.27,-0.18,1526.75,199.8
190.33,5.40,82.15,73.909,7.546,162.44,-0.08,1549.380005,198
184.85,5.60,91.27,74.518,8.063,162.55,0.08,1481.140015,197.8
179.61,5.90,89.43,75.218,8.032,162.64,0.09,1468.359985,200.6
174.68,6.40,90.82,75.205,8.896,162.72,-0.16,1378.550049,210
169.99,6.30,93.75,76.047,9.223,162.63,-0.39,1330.630005,215.2
166.12,6.60,101.84,77.441,9.684,162.56,-0.45,1322.699951,224
163.13,6.10,109.05,77.935,9.097,162.30,-0.78,1385.589966,250.6
