HosingNY,UnemployNY,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),NYPHCI,NYSLIND,S&P Adj Close,Steel&Iron Index
109.82,5.90,18.52,54.668,2.759,125.78,-1.27,1148.079956,107.3
110.27,6.80,19.15,54.564,2.815,125.61,-0.15,1130.199951,107.1
110.81,6.80,19.98,54.764,2.955,125.46,0.36,1106.72998,107.7
111.67,6.60,23.64,55.253,2.941,125.29,0.13,1147.390015,109
113.25,6.10,25.43,55.369,3.027,125.29,0.35,1076.920044,110.8
115.17,5.90,25.69,55.018,3.145,125.42,0.73,1067.140015,112.9
117.24,6.00,24.49,55.385,3.212,125.56,1.04,989.820007,114.7
119.42,6.10,25.75,55.796,3.133,125.46,0.45,911.619995,115.9
121.04,5.80,26.78,56.225,3.103,125.62,0.49,916.070007,117
121.71,5.60,28.28,56.473,3.191,125.57,0.49,815.280029,118.6
122.36,5.80,27.53,56.864,3.166,125.34,-0.37,885.76001,118.9
123.34,6.10,24.79,57.591,3.191,125.37,-0.11,936.309998,118.2
124.30,6.30,27.89,58.083,3.319,125.16,-0.01,879.820007,117.9
125.03,7.00,30.77,57.959,3.569,124.96,-0.33,855.700012,118.6
125.49,6.90,32.88,58.212,3.590,124.96,-0.04,841.150024,120.1
126.18,6.40,30.36,58.812,3.406,124.93,0.28,848.179993,120.7
127.33,6.10,25.49,59.366,3.282,124.98,0.39,916.919983,120.7
128.76,6.00,26.06,59.353,3.557,124.81,0.07,963.590027,119.8
130.69,6.40,27.91,59.903,3.564,124.95,0.29,974.5,119.2
132.75,6.40,28.59,60.332,3.510,124.81,0.23,990.309998,119.4
134.44,6.20,29.68,60.896,3.598,124.96,0.58,1008.01001,120.8
135.68,6.30,26.88,60.591,3.790,125.05,0.80,995.969971,122
136.35,6.20,29.01,60.424,3.789,125.40,1.52,1050.709961,123.2
136.67,6.30,29.12,60.708,3.899,125.51,1.55,1058.199951,125
137.15,6.10,29.95,60.936,4.070,125.67,1.12,1111.920044,128.4
137.75,7.10,31.4,60.539,4.138,125.80,1.03,1131.130005,134
138.21,6.80,31.32,60.838,4.049,126.16,1.21,1144.939941,143.6
138.85,6.70,33.67,61.614,4.067,126.50,1.68,1126.209961,150.3
140.53,5.90,33.71,62.302,4.033,126.85,1.40,1107.300049,154.4
143.48,5.60,37.63,62.424,3.838,127.18,1.55,1120.680054,155.3
146.65,5.80,35.54,62.640,3.924,127.74,1.84,1140.839966,155.2
148.98,5.80,37.93,62.682,3.981,128.05,1.71,1101.719971,166
150.22,5.30,42.08,62.891,4.005,128.34,1.16,1104.23999,174.2
150.89,5.20,41.65,63.227,4.053,128.85,1.54,1114.579956,174
151.48,5.10,46.87,63.438,4.205,129.15,1.66,1130.199951,178.9
151.93,5.10,42.23,63.938,4.394,129.23,0.87,1173.819946,182.4
152.17,5.20,39.09,64.367,4.421,129.55,1.00,1211.920044,180.6
152.36,5.70,42.89,63.936,4.240,129.80,1.18,1181.27002,181.2
152.51,5.70,44.56,63.936,4.234,130.13,1.37,1203.599976,179.8
153.41,5.00,50.93,64.543,4.339,130.22,0.63,1180.589966,176.4
155.64,4.80,50.64,64.987,4.292,130.67,1.29,1156.849976,176.9
